fName,lName,country,poll,selectionName,selectionYear,selectionDirector,newName,rating,runtime,genre,language,country
William,Fowler,UK,critics,Living on the Edge,1987,Mike Grigsby,Living on the Edge,N/A,70,Documentary,English,UK
William,Fowler,UK,critics,Marketa Lazarova,1967,Frantisek Vlacil,Marketa Lazarova,NOT RATED,162,"Drama,History,Romance","Czech,German",Czechoslovakia
William,Fowler,UK,critics,Possession,1981,Andrzej Zulawski,Possession,PG-13,102,"Drama,Mystery","English,French","USA,UK"
William,Fowler,UK,critics,"Werckmeister Harmonies, The",2000,Bela Tarr,Werckmeister Harmonies,N/A,145,"Drama,Mystery","Hungarian,Slovak","Hungary,Italy,Germany,France"
William,Fowler,UK,critics,Wind Vane,1972,Chris Welsby,Wind Vane,N/A,8,Short,N/A,UK
Willi,Winkler,Germany,critics,Apocalypse Now,1979,Francis Ford Coppola,Apocalypse Now,R,153,"Drama,War","English,French,Vietnamese,Khmer",USA
Willi,Winkler,Germany,critics,Badlands,1973,Terrence Malick,Badlands,PG,94,"Crime,Drama","English,Spanish",USA
Willi,Winkler,Germany,critics,Barry Lyndon,1975,Stanley Kubrick,Barry Lyndon,PG,184,"Adventure,Drama,History","English,German,French","UK,USA,Ireland"
Willi,Winkler,Germany,critics,Battleship Potemkin,1925,Sergei M Eisenstein,Battleship Potemkin,UNRATED,66,"History,War",Russian,Soviet Union
Willi,Winkler,Germany,critics,Casablanca,1942,Michael Curtiz,Casablanca,PG,102,"Drama,Romance,War","English,French,German,Italian",USA
Willi,Winkler,Germany,critics,Gone with the Wind,1939,Victor Fleming,Gone with the Wind,G,238,"Drama,Romance,War",English,USA
Willi,Winkler,Germany,critics,Kings of the Road,1976,Wim Wenders,Kings of the Road,N/A,175,Drama,"German,English",West Germany
Willi,Winkler,Germany,critics,La Maman et la putain,1973,Jean Eustache,The Mother and the Whore,N/A,210,"Drama,Romance",French,France
Willi,Winkler,Germany,critics,"Searchers, The",1956,John Ford,The Searchers,APPROVED,119,"Adventure,Drama,Western","English,Navajo,Spanish",USA
Willi,Winkler,Germany,critics,Taxi Driver,1976,Martin Scorsese,Taxi Driver,R,113,"Crime,Drama","English,Spanish",USA
Will,Brooker,UK,critics,Blade Runner,1982,Ridley Scott,Blade Runner,R,117,"Sci-Fi,Thriller","English,German,Cantonese,Japanese,Hungarian","USA,Hong Kong,UK"
Will,Brooker,UK,critics,"Breakfast Club, The",1985,John Hughes,The Breakfast Club,R,97,"Comedy,Drama",English,USA
Will,Brooker,UK,critics,Breathless,1960,Jean-Luc Godard,Breathless,UNRATED,90,"Crime,Drama,Romance","French,English",France
Will,Brooker,UK,critics,Man with a Movie Camera,1929,Dziga Vertov,Man with a Movie Camera,NOT RATED,68,Documentary,N/A,Soviet Union
Will,Brooker,UK,critics,Rope,1948,Alfred Hitchcock,Rope,PG,80,"Crime,Drama,Thriller",English,USA
Will,Brooker,UK,critics,"Searchers, The",1956,John Ford,The Searchers,APPROVED,119,"Adventure,Drama,Western","English,Navajo,Spanish",USA
Will,Brooker,UK,critics,Star Wars,1977,George Lucas,Star Wars: Episode IV - A New Hope,PG,121,"Action,Adventure,Fantasy",English,USA
Will,Brooker,UK,critics,Touch of Evil,1958,Orson Welles,Touch of Evil,PG-13,95,"Crime,Film-Noir,Thriller","English,Spanish",USA
Will,Brooker,UK,critics,Tron,1982,Steven Lisberger,Tron,PG,96,"Action,Adventure,Sci-Fi",English,USA
Will,Brooker,UK,critics,West Side Story,1961,Robert Wise/Jerome Robbins,West Side Story,UNRATED,152,"Crime,Drama,Musical","English,Spanish",USA
Wheeler,Dixon,US,critics,Chelsea Girls,1966,Andy Warhol/Paul Morrissey,Chelsea Girls,N/A,210,Drama,"English,Portuguese",USA
Wheeler,Dixon,US,critics,Citizen Kane,1941,Orson Welles,Citizen Kane,APPROVED,119,"Drama,Mystery",English,USA
Wheeler,Dixon,US,critics,"dolce vita, La",1960,Federico Fellini,La dolce vita,NOT RATED,174,"Comedy,Drama","Italian,English,French,German","Italy,France"
Wheeler,Dixon,US,critics,Dr. Strangelove,1963,Stanley Kubrick,Dr. Strangelove,PG,95,"Comedy,War","English,Russian","USA,UK"
Wheeler,Dixon,US,critics,Melancholia,2011,Lars von Trier,Melancholia,R,130,"Drama,Sci-Fi",English,"Denmark,Sweden,France,Germany"
Wheeler,Dixon,US,critics,Passion of Joan of Arc,1927,Carl Theodor Dreyer,Passion of Joan of Arc,NOT RATED,114,"Biography,Drama,History",French,France
Wheeler,Dixon,US,critics,Persona,1966,Ingmar Bergman,Persona,NOT RATED,83,"Drama,Mystery","Swedish,English",Sweden
Wheeler,Dixon,US,critics,Taxi Driver,1976,Martin Scorsese,Taxi Driver,R,113,"Crime,Drama","English,Spanish",USA
Wheeler,Dixon,US,critics,"Thing, The",1982,John Carpenter,The Thing,R,109,"Horror,Sci-Fi","English,Norwegian",USA
Wheeler,Dixon,US,critics,Vertigo,1958,Alfred Hitchcock,Vertigo,APPROVED,128,"Mystery,Romance,Thriller",English,USA
Wesley,Morris,US,critics,Au Hasard Balthazar,1966,Robert Bresson,Au Hasard Balthazar,NOT RATED,95,Drama,"French,Latin","France,Sweden"
Wesley,Morris,US,critics,Battleship Potemkin,1925,Sergei M Eisenstein,Battleship Potemkin,UNRATED,66,"History,War",Russian,Soviet Union
Wesley,Morris,US,critics,Do The Right Thing,1989,Spike Lee,Do The Right Thing,R,120,Drama,"English,Italian,Spanish",USA
Wesley,Morris,US,critics,Metropolis,1927,Fritz Lang,Metropolis,NOT RATED,153,"Drama,Sci-Fi",German,Germany
Wesley,Morris,US,critics,Naked,1993,Mike Leigh,Naked,UNRATED,126,"Comedy,Drama",English,UK
Wesley,Morris,US,critics,"One and a Two, A",1999,Edward Yang,Yi yi,NOT RATED,173,"Drama,Music,Romance","Mandarin,Min Nan,Hokkien,English,Japanese","Taiwan,Japan"
Wesley,Morris,US,critics,Sunrise,1927,F. W. Murnau,Sunrise,NOT RATED,94,"Drama,Romance",N/A,USA
Wesley,Morris,US,critics,Taxi Driver,1976,Martin Scorsese,Taxi Driver,R,113,"Crime,Drama","English,Spanish",USA
Wesley,Morris,US,critics,There Will Be Blood,2007,Paul Thomas Anderson,There Will Be Blood,R,158,Drama,"English,American Sign Language",USA
Wesley,Morris,US,critics,Vertigo,1958,Alfred Hitchcock,Vertigo,APPROVED,128,"Mystery,Romance,Thriller",English,USA
Wendy,Ide,UK,critics,"400 Blows, The",1959,Francois Truffaut,The 400 Blows,NOT RATED,99,"Crime,Drama","French,English",France
Wendy,Ide,UK,critics,Beau Travail,1998,Claire Denis,Beau Travail,N/A,92,Drama,"French,Italian,Russian",France
Wendy,Ide,UK,critics,Chinatown,1974,Roman Polanski,Chinatown,R,130,"Drama,Mystery,Thriller","English,Cantonese,Spanish",USA
Wendy,Ide,UK,critics,"Conformist, The",1970,Bernardo Bertolucci,The Conformist,R,111,Drama,"Italian,French,Latin,Chinese","Italy,France,West Germany"
Wendy,Ide,UK,critics,"Lady Eve, The",1941,Preston Sturges,The Lady Eve,NOT RATED,94,"Comedy,Romance",English,USA
Wendy,Ide,UK,critics,"Shining, The",1980,Stanley Kubrick,The Shining,R,146,Horror,English,"USA,UK"
Wendy,Ide,UK,critics,"Sorrow and the Pity, The",1969,Marcel Ophuls,The Sorrow and the Pity,PG,251,"Documentary,History,War","French,German,English","France,Switzerland,West Germany"
Wendy,Ide,UK,critics,Sunrise,1927,F. W. Murnau,Sunrise,NOT RATED,94,"Drama,Romance",N/A,USA
Wendy,Ide,UK,critics,Sunset Blvd.,1950,Billy Wilder,Sunset Blvd.,NOT RATED,110,"Drama,Film-Noir",English,USA
Wendy,Ide,UK,critics,WALL-E,2008,Andrew Stanton,WALL-E,G,98,"Animation,Adventure,Family",English,USA
Wally,Hammond,UK,critics,L'Atalante,1934,Jean Vigo,L'Atalante,NOT RATED,89,"Drama,Romance","French,Russian",France
Wally,Hammond,UK,critics,Berlin Alexanderplatz,1980,Rainer Werner Fassbinder,Berlin Alexanderplatz,NOT RATED,910,Drama,German,"West Germany,Italy"
Wally,Hammond,UK,critics,"General, The",1926,Buster Keaton,The General,UNRATED,67,"Action,Adventure,Comedy",English,USA
Wally,Hammond,UK,critics,"Life and Death of Colonel Blimp, The",1943,Michael Powell/Emeric Pressburger,The Life and Death of Colonel Blimp,PASSED,163,"Drama,Romance,War","English,French,German",UK
Wally,Hammond,UK,critics,"Magnificent Ambersons, The",1942,Orson Welles,The Magnificent Ambersons,APPROVED,88,"Drama,Romance",English,USA
Wally,Hammond,UK,critics,Partie de campagne,1936,Jean Renoir,Partie de campagne,N/A,90,Documentary,French,France
Wally,Hammond,UK,critics,Passion of Joan of Arc,1927,Carl Theodor Dreyer,Passion of Joan of Arc,NOT RATED,114,"Biography,Drama,History",French,France
Wally,Hammond,UK,critics,Tokyo Story,1953,Ozu Yasujiro,Tokyo Story,NOT RATED,136,Drama,"Japanese,English",Japan
Wally,Hammond,UK,critics,Ugetsu Monogatari,1953,Mizoguchi Kenji,Ugetsu,APPROVED,96,"Drama,Fantasy,Mystery",Japanese,Japan
Wally,Hammond,UK,critics,WALL-E,2008,Andrew Stanton,WALL-E,G,98,"Animation,Adventure,Family",English,USA
Volker,Pantenburg,Germany,critics,Did Wolff von Amerongen Commit Bankruptcy Offenses?,2004,Gerhard Friedl,Wolff Von Amerongen: Did He Commit Bancruptcy Offences?,N/A,73,"Documentary,Crime,History",German,"Germany,Austria"
Volker,Pantenburg,Germany,critics,From the Notebook of...,2000,Robert Beavers,From the Notebook of...,N/A,48,N/A,English,USA
Volker,Pantenburg,Germany,critics,Histoire(s) du cinema,1997,Jean-Luc Godard,Histoire(s) du cinema: Seul le cinema,N/A,26,"Documentary,Short",French,"Switzerland,France"
Volker,Pantenburg,Germany,critics,"House is Black, The",1962,Forough Farrokhzad,The House is Black,N/A,20,"Documentary,Short",Persian,Iran
Volker,Pantenburg,Germany,critics,In Vanda's Room,2000,Pedro Costa,In Vanda's Room,NOT RATED,170,Drama,Portuguese,"Portugal,Germany,Switzerland"
Volker,Pantenburg,Germany,critics,Mass for the Dakota Sioux,1964,Bruce Baillie,Mass for the Dakota Sioux,N/A,24,Short,English,USA
Volker,Pantenburg,Germany,critics,Out 1,1990,Jacques Rivette,Out 1,N/A,729,Drama,"French,English",France
Volker,Pantenburg,Germany,critics,Shoah,1985,Claude Lanzmann,Shoah,NOT RATED,566,"Documentary,History,War","English,German,Hebrew,Polish,Yiddish,French",France
Volker,Pantenburg,Germany,critics,Tokyo Story,1953,Ozu Yasujiro,Tokyo Story,NOT RATED,136,Drama,"Japanese,English",Japan
Volker,Pantenburg,Germany,critics,"Too Early, Too Late",1982,Jean-Marie Straub/Daniele Huillet,"Too Early, Too Late",N/A,100,Documentary,"German,French,Arabic","France,Egypt"
Vlastimir,Sudar,Serbia/UK,critics,After Life,1998,Koreeda Hirokazu,After Life,N/A,118,"Drama,Fantasy",Japanese,Japan
Vlastimir,Sudar,Serbia/UK,critics,Arnulf Rainer,1960,Peter Kubelka,Arnulf Rainer,N/A,7,Short,N/A,Austria
Vlastimir,Sudar,Serbia/UK,critics,Camera Buff,1979,Krzysztof Kieslowski,Camera Buff,N/A,117,Drama,Polish,Poland
Vlastimir,Sudar,Serbia/UK,critics,Close-Up,1989,Abbas Kiarostami,Close-Up,NOT RATED,98,Drama,"Persian,Azerbaijani",Iran
Vlastimir,Sudar,Serbia/UK,critics,"Girl Chewing Gum, The",1976,John Smith,The Girl Chewing Gum,N/A,12,Short,English,UK
